nama citra , contrast(0) , contrast(45) , contrast(90) , contrast(135) , dissimilarity(0) , dissimilarity(45) , dissimilarity(90) , dissimilarity(135) , homogeneity(0) , homogeneity(45) , homogeneity(90) , homogeneity(135) , energy(0) , energy(45) , energy(90) , energy(135) , correlation(0) , correlation(45) , correlation(90) , correlation(135) , ASM(0) , ASM(45) , ASM(90) , ASM(135) , label
Copy of m43.png , 24624.1136 , 27115.3122 , 23632.3182 , 24624.1136 , 96.5652 , 106.3346 , 92.6758 , 96.5652 , 0.6213 , 0.583 , 0.6366 , 0.6213 , 0.5947 , 0.5869 , 0.5982 , 0.5947 , 0.0786 , -0.0111 , 0.1154 , 0.0786 , 0.3537 , 0.3445 , 0.3578 , 0.3537 , matang
Copy of m44.png , 24624.1136 , 27115.3122 , 23632.3182 , 24624.1136 , 96.5652 , 106.3346 , 92.6758 , 96.5652 , 0.6213 , 0.583 , 0.6366 , 0.6213 , 0.5947 , 0.5869 , 0.5982 , 0.5947 , 0.0786 , -0.0111 , 0.1154 , 0.0786 , 0.3537 , 0.3445 , 0.3578 , 0.3537 , matang
Copy of m45.png , 24624.1136 , 27115.3122 , 23632.3182 , 24624.1136 , 96.5652 , 106.3346 , 92.6758 , 96.5652 , 0.6213 , 0.583 , 0.6366 , 0.6213 , 0.5947 , 0.5869 , 0.5982 , 0.5947 , 0.0786 , -0.0111 , 0.1154 , 0.0786 , 0.3537 , 0.3445 , 0.3578 , 0.3537 , matang
Copy of m46.png , 26535.4545 , 26816.7585 , 19678.2727 , 26535.4545 , 104.0606 , 105.1638 , 77.1697 , 104.0606 , 0.5919 , 0.5876 , 0.6974 , 0.5919 , 0.6038 , 0.602 , 0.6287 , 0.6038 , -0.0362 , -0.0433 , 0.2314 , -0.0362 , 0.3646 , 0.3624 , 0.3952 , 0.3646 , matang
Copy of m47.png , 26535.4545 , 26816.7585 , 19678.2727 , 26535.4545 , 104.0606 , 105.1638 , 77.1697 , 104.0606 , 0.5919 , 0.5876 , 0.6974 , 0.5919 , 0.6038 , 0.602 , 0.6287 , 0.6038 , -0.0362 , -0.0433 , 0.2314 , -0.0362 , 0.3646 , 0.3624 , 0.3952 , 0.3646 , matang
Copy of m48.png , 26535.4545 , 26816.7585 , 19678.2727 , 26535.4545 , 104.0606 , 105.1638 , 77.1697 , 104.0606 , 0.5919 , 0.5876 , 0.6974 , 0.5919 , 0.6038 , 0.602 , 0.6287 , 0.6038 , -0.0362 , -0.0433 , 0.2314 , -0.0362 , 0.3646 , 0.3624 , 0.3952 , 0.3646 , matang
Copy of m49.png , 25188.9773 , 27772.1304 , 23047.75 , 25188.9773 , 98.7803 , 108.9103 , 90.3833 , 98.7803 , 0.6126 , 0.5729 , 0.6456 , 0.6126 , 0.5921 , 0.5846 , 0.5993 , 0.5921 , 0.06 , -0.0327 , 0.1397 , 0.06 , 0.3506 , 0.3417 , 0.3592 , 0.3506 , matang
Copy of m56.png , 24124.9318 , 28223.2782 , 25622.4773 , 24124.9318 , 94.6076 , 110.6795 , 100.4803 , 94.6076 , 0.629 , 0.566 , 0.606 , 0.629 , 0.593 , 0.5817 , 0.5882 , 0.593 , 0.1059 , -0.0435 , 0.051 , 0.1059 , 0.3517 , 0.3384 , 0.346 , 0.3517 , matang
Copy of m57.png , 24124.9318 , 28223.2782 , 25622.4773 , 24124.9318 , 94.6076 , 110.6795 , 100.4803 , 94.6076 , 0.629 , 0.566 , 0.606 , 0.629 , 0.593 , 0.5817 , 0.5882 , 0.593 , 0.1059 , -0.0435 , 0.051 , 0.1059 , 0.3517 , 0.3384 , 0.346 , 0.3517 , matang
Copy of m58.png , 24124.9318 , 28223.2782 , 25622.4773 , 24124.9318 , 94.6076 , 110.6795 , 100.4803 , 94.6076 , 0.629 , 0.566 , 0.606 , 0.629 , 0.593 , 0.5817 , 0.5882 , 0.593 , 0.1059 , -0.0435 , 0.051 , 0.1059 , 0.3517 , 0.3384 , 0.346 , 0.3517 , matang
Copy of m59.png , 24381.0909 , 28687.6951 , 25786.6818 , 24381.0909 , 95.6121 , 112.5008 , 101.1242 , 95.6121 , 0.6251 , 0.5588 , 0.6034 , 0.6251 , 0.59 , 0.578 , 0.5853 , 0.59 , 0.102 , -0.0521 , 0.0516 , 0.102 , 0.3481 , 0.3341 , 0.3426 , 0.3481 , matang
Copy of m6.png , 26174.2045 , 29331.2443 , 24748.9091 , 26174.2045 , 102.6439 , 115.0245 , 97.0545 , 102.6439 , 0.5975 , 0.5489 , 0.6194 , 0.5975 , 0.5804 , 0.5731 , 0.5845 , 0.5804 , 0.0477 , -0.0639 , 0.0995 , 0.0477 , 0.3368 , 0.3284 , 0.3416 , 0.3368 , matang
Copy of m60.png , 24381.0909 , 28687.6951 , 25786.6818 , 24381.0909 , 95.6121 , 112.5008 , 101.1242 , 95.6121 , 0.6251 , 0.5588 , 0.6034 , 0.6251 , 0.59 , 0.578 , 0.5853 , 0.59 , 0.102 , -0.0521 , 0.0516 , 0.102 , 0.3481 , 0.3341 , 0.3426 , 0.3481 , matang
Copy of m66.png , 25964.0227 , 28482.0248 , 24486.1818 , 25964.0227 , 101.8197 , 111.6942 , 96.0242 , 101.8197 , 0.6007 , 0.562 , 0.6234 , 0.6007 , 0.5824 , 0.5757 , 0.5866 , 0.5824 , 0.0516 , -0.0371 , 0.1058 , 0.0516 , 0.3391 , 0.3315 , 0.3441 , 0.3391 , matang
Copy of m67.png , 25964.0227 , 28482.0248 , 24486.1818 , 25964.0227 , 101.8197 , 111.6942 , 96.0242 , 101.8197 , 0.6007 , 0.562 , 0.6234 , 0.6007 , 0.5824 , 0.5757 , 0.5866 , 0.5824 , 0.0516 , -0.0371 , 0.1058 , 0.0516 , 0.3391 , 0.3315 , 0.3441 , 0.3391 , matang
Copy of m68.png , 26673.3864 , 29862.0064 , 26180.7727 , 26673.3864 , 104.6015 , 117.1059 , 102.6697 , 104.6015 , 0.5898 , 0.5408 , 0.5974 , 0.5898 , 0.5725 , 0.5664 , 0.5734 , 0.5725 , 0.0468 , -0.0658 , 0.0652 , 0.0468 , 0.3277 , 0.3208 , 0.3288 , 0.3277 , matang
Copy of m69.png , 26673.3864 , 29862.0064 , 26180.7727 , 26673.3864 , 104.6015 , 117.1059 , 102.6697 , 104.6015 , 0.5898 , 0.5408 , 0.5974 , 0.5898 , 0.5725 , 0.5664 , 0.5734 , 0.5725 , 0.0468 , -0.0658 , 0.0652 , 0.0468 , 0.3277 , 0.3208 , 0.3288 , 0.3277 , matang
Copy of m7.png , 26174.2045 , 29331.2443 , 24748.9091 , 26174.2045 , 102.6439 , 115.0245 , 97.0545 , 102.6439 , 0.5975 , 0.5489 , 0.6194 , 0.5975 , 0.5804 , 0.5731 , 0.5845 , 0.5804 , 0.0477 , -0.0639 , 0.0995 , 0.0477 , 0.3368 , 0.3284 , 0.3416 , 0.3368 , matang
Copy of m70.png , 26673.3864 , 29862.0064 , 26180.7727 , 26673.3864 , 104.6015 , 117.1059 , 102.6697 , 104.6015 , 0.5898 , 0.5408 , 0.5974 , 0.5898 , 0.5725 , 0.5664 , 0.5734 , 0.5725 , 0.0468 , -0.0658 , 0.0652 , 0.0468 , 0.3277 , 0.3208 , 0.3288 , 0.3277 , matang
Copy of m71.png , 24742.3409 , 28813.7511 , 25064.1818 , 24742.3409 , 97.0288 , 112.9951 , 98.2909 , 97.0288 , 0.6195 , 0.5569 , 0.6146 , 0.6195 , 0.5852 , 0.5744 , 0.584 , 0.5852 , 0.0979 , -0.0469 , 0.0868 , 0.0979 , 0.3425 , 0.33 , 0.341 , 0.3425 , matang
Copy of m72.png , 24742.3409 , 28813.7511 , 25064.1818 , 24742.3409 , 97.0288 , 112.9951 , 98.2909 , 97.0288 , 0.6195 , 0.5569 , 0.6146 , 0.6195 , 0.5852 , 0.5744 , 0.584 , 0.5852 , 0.0979 , -0.0469 , 0.0868 , 0.0979 , 0.3425 , 0.33 , 0.341 , 0.3425 , matang
Copy of m73.png , 24742.3409 , 28813.7511 , 25064.1818 , 24742.3409 , 97.0288 , 112.9951 , 98.2909 , 97.0288 , 0.6195 , 0.5569 , 0.6146 , 0.6195 , 0.5852 , 0.5744 , 0.584 , 0.5852 , 0.0979 , -0.0469 , 0.0868 , 0.0979 , 0.3425 , 0.33 , 0.341 , 0.3425 , matang
Copy of m74.png , 25156.1364 , 29079.1322 , 24886.8409 , 25156.1364 , 98.6515 , 114.0358 , 97.5955 , 98.6515 , 0.6131 , 0.5528 , 0.6173 , 0.6131 , 0.5867 , 0.5765 , 0.5865 , 0.5867 , 0.0758 , -0.0637 , 0.0881 , 0.0758 , 0.3442 , 0.3324 , 0.344 , 0.3442 , matang
Copy of m75.png , 25156.1364 , 29079.1322 , 24886.8409 , 25156.1364 , 98.6515 , 114.0358 , 97.5955 , 98.6515 , 0.6131 , 0.5528 , 0.6173 , 0.6131 , 0.5867 , 0.5765 , 0.5865 , 0.5867 , 0.0758 , -0.0637 , 0.0881 , 0.0758 , 0.3442 , 0.3324 , 0.344 , 0.3442 , matang
Copy of m76.png , 25156.1364 , 29079.1322 , 24886.8409 , 25156.1364 , 98.6515 , 114.0358 , 97.5955 , 98.6515 , 0.6131 , 0.5528 , 0.6173 , 0.6131 , 0.5867 , 0.5765 , 0.5865 , 0.5867 , 0.0758 , -0.0637 , 0.0881 , 0.0758 , 0.3442 , 0.3324 , 0.344 , 0.3442 , matang
Copy of m77.png , 25011.6364 , 29178.6501 , 26075.6818 , 25011.6364 , 98.0848 , 114.4261 , 102.2576 , 98.0848 , 0.6154 , 0.5513 , 0.599 , 0.6154 , 0.5835 , 0.573 , 0.5799 , 0.5835 , 0.0902 , -0.0577 , 0.0531 , 0.0902 , 0.3405 , 0.3284 , 0.3363 , 0.3405 , matang
Copy of m78.png , 25011.6364 , 29178.6501 , 26075.6818 , 25011.6364 , 98.0848 , 114.4261 , 102.2576 , 98.0848 , 0.6154 , 0.5513 , 0.599 , 0.6154 , 0.5835 , 0.573 , 0.5799 , 0.5835 , 0.0902 , -0.0577 , 0.0531 , 0.0902 , 0.3405 , 0.3284 , 0.3363 , 0.3405 , matang
Copy of m79.png , 24367.9545 , 29994.697 , 27146.2955 , 24367.9545 , 95.5606 , 117.6263 , 106.4561 , 95.5606 , 0.6253 , 0.5387 , 0.5825 , 0.6253 , 0.5813 , 0.5679 , 0.5727 , 0.5813 , 0.1239 , -0.0753 , 0.0265 , 0.1239 , 0.338 , 0.3225 , 0.328 , 0.338 , matang
Copy of m8.png , 26174.2045 , 29331.2443 , 24748.9091 , 26174.2045 , 102.6439 , 115.0245 , 97.0545 , 102.6439 , 0.5975 , 0.5489 , 0.6194 , 0.5975 , 0.5804 , 0.5731 , 0.5845 , 0.5804 , 0.0477 , -0.0639 , 0.0995 , 0.0477 , 0.3368 , 0.3284 , 0.3416 , 0.3368 , matang
Copy of m80.png , 24367.9545 , 29994.697 , 27146.2955 , 24367.9545 , 95.5606 , 117.6263 , 106.4561 , 95.5606 , 0.6253 , 0.5387 , 0.5825 , 0.6253 , 0.5813 , 0.5679 , 0.5727 , 0.5813 , 0.1239 , -0.0753 , 0.0265 , 0.1239 , 0.338 , 0.3225 , 0.328 , 0.338 , matang
Copy of m81.png , 26029.7045 , 29317.9752 , 25629.0455 , 26029.7045 , 102.0773 , 114.9725 , 100.5061 , 102.0773 , 0.5997 , 0.5491 , 0.6059 , 0.5997 , 0.5784 , 0.5703 , 0.5789 , 0.5784 , 0.0591 , -0.0556 , 0.0748 , 0.0591 , 0.3345 , 0.3253 , 0.3352 , 0.3345 , matang
Copy of m82.png , 26029.7045 , 29317.9752 , 25629.0455 , 26029.7045 , 102.0773 , 114.9725 , 100.5061 , 102.0773 , 0.5997 , 0.5491 , 0.6059 , 0.5997 , 0.5784 , 0.5703 , 0.5789 , 0.5784 , 0.0591 , -0.0556 , 0.0748 , 0.0591 , 0.3345 , 0.3253 , 0.3352 , 0.3345 , matang
Copy of m83.png , 25576.5 , 29649.7016 , 25399.1591 , 25576.5 , 100.3 , 116.2733 , 99.6045 , 100.3 , 0.6067 , 0.544 , 0.6094 , 0.6067 , 0.5833 , 0.5738 , 0.5833 , 0.5833 , 0.066 , -0.0788 , 0.0738 , 0.066 , 0.3403 , 0.3293 , 0.3402 , 0.3403 , matang
Copy of m84.png , 25576.5 , 29649.7016 , 25399.1591 , 25576.5 , 100.3 , 116.2733 , 99.6045 , 100.3 , 0.6067 , 0.544 , 0.6094 , 0.6067 , 0.5833 , 0.5738 , 0.5833 , 0.5833 , 0.066 , -0.0788 , 0.0738 , 0.066 , 0.3403 , 0.3293 , 0.3402 , 0.3403 , matang
Copy of m85.png , 24834.2955 , 29059.2287 , 25819.5227 , 24834.2955 , 97.3894 , 113.9578 , 101.253 , 97.3894 , 0.6181 , 0.5531 , 0.6029 , 0.6181 , 0.5864 , 0.5758 , 0.5835 , 0.5864 , 0.0908 , -0.0608 , 0.0549 , 0.0908 , 0.3439 , 0.3315 , 0.3405 , 0.3439 , matang
Copy of m86.png , 24834.2955 , 29059.2287 , 25819.5227 , 24834.2955 , 97.3894 , 113.9578 , 101.253 , 97.3894 , 0.6181 , 0.5531 , 0.6029 , 0.6181 , 0.5864 , 0.5758 , 0.5835 , 0.5864 , 0.0908 , -0.0608 , 0.0549 , 0.0908 , 0.3439 , 0.3315 , 0.3405 , 0.3439 , matang
Copy of m87.png , 26450.0682 , 29603.2599 , 25661.8864 , 26450.0682 , 103.7258 , 116.0912 , 100.6348 , 103.7258 , 0.5932 , 0.5447 , 0.6054 , 0.5932 , 0.5782 , 0.5713 , 0.5802 , 0.5782 , 0.0416 , -0.0695 , 0.0703 , 0.0416 , 0.3343 , 0.3263 , 0.3366 , 0.3343 , matang
Copy of m88.png , 26450.0682 , 29603.2599 , 25661.8864 , 26450.0682 , 103.7258 , 116.0912 , 100.6348 , 103.7258 , 0.5932 , 0.5447 , 0.6054 , 0.5932 , 0.5782 , 0.5713 , 0.5802 , 0.5782 , 0.0416 , -0.0695 , 0.0703 , 0.0416 , 0.3343 , 0.3263 , 0.3366 , 0.3343 , matang
Copy of m89.png , 25681.5909 , 30034.5041 , 27120.0227 , 25681.5909 , 100.7121 , 117.7824 , 106.353 , 100.7121 , 0.6051 , 0.5381 , 0.5829 , 0.6051 , 0.5769 , 0.5675 , 0.573 , 0.5769 , 0.0778 , -0.0756 , 0.0267 , 0.0778 , 0.3328 , 0.322 , 0.3283 , 0.3328 , matang
Copy of m9.png , 26174.2045 , 29331.2443 , 24748.9091 , 26174.2045 , 102.6439 , 115.0245 , 97.0545 , 102.6439 , 0.5975 , 0.5489 , 0.6194 , 0.5975 , 0.5804 , 0.5731 , 0.5845 , 0.5804 , 0.0477 , -0.0639 , 0.0995 , 0.0477 , 0.3368 , 0.3284 , 0.3416 , 0.3368 , matang
Copy of m96.png , 26174.2045 , 30087.5803 , 27166.0 , 26174.2045 , 102.6439 , 117.9905 , 106.5333 , 102.6439 , 0.5975 , 0.5373 , 0.5822 , 0.5975 , 0.5728 , 0.5643 , 0.5694 , 0.5728 , 0.0669 , -0.0686 , 0.0342 , 0.0669 , 0.3281 , 0.3184 , 0.3242 , 0.3281 , matang
Copy of m97.png , 26174.2045 , 30087.5803 , 27166.0 , 26174.2045 , 102.6439 , 117.9905 , 106.5333 , 102.6439 , 0.5975 , 0.5373 , 0.5822 , 0.5975 , 0.5728 , 0.5643 , 0.5694 , 0.5728 , 0.0669 , -0.0686 , 0.0342 , 0.0669 , 0.3281 , 0.3184 , 0.3242 , 0.3281 , matang
Copy of m98.png , 23717.7045 , 27102.0432 , 23973.8636 , 23717.7045 , 93.0106 , 106.2825 , 94.0152 , 93.0106 , 0.6353 , 0.5832 , 0.6313 , 0.6353 , 0.6049 , 0.5941 , 0.6039 , 0.6049 , 0.0935 , -0.0318 , 0.0842 , 0.0935 , 0.3659 , 0.353 , 0.3647 , 0.3659 , matang
Copy of m99.png , 25635.6136 , 29716.0468 , 25668.4545 , 25635.6136 , 100.5318 , 116.5335 , 100.6606 , 100.5318 , 0.6058 , 0.543 , 0.6053 , 0.6058 , 0.5772 , 0.5678 , 0.5764 , 0.5772 , 0.0789 , -0.0642 , 0.0794 , 0.0789 , 0.3332 , 0.3224 , 0.3323 , 0.3332 , matang
Copy of Tm1.png , 25747.2727 , 31023.0487 , 28584.7273 , 25747.2727 , 100.9697 , 121.659 , 112.097 , 100.9697 , 0.604 , 0.5229 , 0.5604 , 0.604 , 0.5619 , 0.5512 , 0.5545 , 0.5619 , 0.1104 , -0.0681 , 0.0148 , 0.1104 , 0.3157 , 0.3039 , 0.3075 , 0.3157 , mentah
Copy of Tm10.png , 21320.3182 , 26252.8237 , 23888.4773 , 21320.3182 , 83.6091 , 102.9522 , 93.6803 , 83.6091 , 0.6721 , 0.5963 , 0.6326 , 0.6721 , 0.6133 , 0.595 , 0.6026 , 0.6133 , 0.1873 , 0.0038 , 0.0917 , 0.1873 , 0.3762 , 0.354 , 0.3631 , 0.3762 , mentah
Copy of Tm100.png , 23165.9773 , 29072.4977 , 28525.6136 , 23165.9773 , 90.847 , 114.0098 , 111.8652 , 90.847 , 0.6437 , 0.5529 , 0.5613 , 0.6437 , 0.584 , 0.567 , 0.5681 , 0.584 , 0.1707 , -0.0366 , -0.0178 , 0.1707 , 0.3411 , 0.3215 , 0.3227 , 0.3411 , mentah
Copy of Tm106.png , 27448.4318 , 33597.2452 , 29484.5682 , 27448.4318 , 107.6409 , 131.7539 , 115.6258 , 107.6409 , 0.5779 , 0.4833 , 0.5466 , 0.5779 , 0.5476 , 0.5417 , 0.5437 , 0.5476 , 0.0746 , -0.1311 , 0.0069 , 0.0746 , 0.2999 , 0.2935 , 0.2956 , 0.2999 , mentah
Copy of Tm107.png , 27448.4318 , 33597.2452 , 29484.5682 , 27448.4318 , 107.6409 , 131.7539 , 115.6258 , 107.6409 , 0.5779 , 0.4833 , 0.5466 , 0.5779 , 0.5476 , 0.5417 , 0.5437 , 0.5476 , 0.0746 , -0.1311 , 0.0069 , 0.0746 , 0.2999 , 0.2935 , 0.2956 , 0.2999 , mentah
Copy of Tm108.png , 27448.4318 , 33597.2452 , 29484.5682 , 27448.4318 , 107.6409 , 131.7539 , 115.6258 , 107.6409 , 0.5779 , 0.4833 , 0.5466 , 0.5779 , 0.5476 , 0.5417 , 0.5437 , 0.5476 , 0.0746 , -0.1311 , 0.0069 , 0.0746 , 0.2999 , 0.2935 , 0.2956 , 0.2999 , mentah
Copy of Tm109.png , 25839.2273 , 30054.4077 , 26850.7273 , 25839.2273 , 101.3303 , 117.8604 , 105.297 , 101.3303 , 0.6026 , 0.5378 , 0.5871 , 0.6026 , 0.5708 , 0.5616 , 0.5673 , 0.5708 , 0.0858 , -0.0601 , 0.0524 , 0.0858 , 0.3258 , 0.3154 , 0.3218 , 0.3258 , mentah
Copy of Tm11.png , 21320.3182 , 26252.8237 , 23888.4773 , 21320.3182 , 83.6091 , 102.9522 , 93.6803 , 83.6091 , 0.6721 , 0.5963 , 0.6326 , 0.6721 , 0.6133 , 0.595 , 0.6026 , 0.6133 , 0.1873 , 0.0038 , 0.0917 , 0.1873 , 0.3762 , 0.354 , 0.3631 , 0.3762 , mentah
Copy of Tm110.png , 25839.2273 , 30054.4077 , 26850.7273 , 25839.2273 , 101.3303 , 117.8604 , 105.297 , 101.3303 , 0.6026 , 0.5378 , 0.5871 , 0.6026 , 0.5708 , 0.5616 , 0.5673 , 0.5708 , 0.0858 , -0.0601 , 0.0524 , 0.0858 , 0.3258 , 0.3154 , 0.3218 , 0.3258 , mentah
Copy of Tm111.png , 25839.2273 , 30054.4077 , 26850.7273 , 25839.2273 , 101.3303 , 117.8604 , 105.297 , 101.3303 , 0.6026 , 0.5378 , 0.5871 , 0.6026 , 0.5708 , 0.5616 , 0.5673 , 0.5708 , 0.0858 , -0.0601 , 0.0524 , 0.0858 , 0.3258 , 0.3154 , 0.3218 , 0.3258 , mentah
Copy of Tm112.png , 25294.0682 , 30392.7686 , 27284.2273 , 25294.0682 , 99.1924 , 119.1873 , 106.997 , 99.1924 , 0.611 , 0.5326 , 0.5804 , 0.611 , 0.5729 , 0.5617 , 0.5667 , 0.5729 , 0.104 , -0.0732 , 0.0362 , 0.104 , 0.3282 , 0.3156 , 0.3211 , 0.3282 , mentah
Copy of Tm113.png , 25294.0682 , 30392.7686 , 27284.2273 , 25294.0682 , 99.1924 , 119.1873 , 106.997 , 99.1924 , 0.611 , 0.5326 , 0.5804 , 0.611 , 0.5729 , 0.5617 , 0.5667 , 0.5729 , 0.104 , -0.0732 , 0.0362 , 0.104 , 0.3282 , 0.3156 , 0.3211 , 0.3282 , mentah
Copy of Tm114.png , 25294.0682 , 30392.7686 , 27284.2273 , 25294.0682 , 99.1924 , 119.1873 , 106.997 , 99.1924 , 0.611 , 0.5326 , 0.5804 , 0.611 , 0.5729 , 0.5617 , 0.5667 , 0.5729 , 0.104 , -0.0732 , 0.0362 , 0.104 , 0.3282 , 0.3156 , 0.3211 , 0.3282 , mentah
Copy of Tm115.png , 25392.5909 , 30359.596 , 27310.5 , 25392.5909 , 99.5788 , 119.0572 , 107.1 , 99.5788 , 0.6095 , 0.5331 , 0.58 , 0.6095 , 0.5698 , 0.5591 , 0.5642 , 0.5698 , 0.107 , -0.0647 , 0.0413 , 0.107 , 0.3247 , 0.3126 , 0.3183 , 0.3247 , mentah
Copy of Tm116.png , 25392.5909 , 30359.596 , 27310.5 , 25392.5909 , 99.5788 , 119.0572 , 107.1 , 99.5788 , 0.6095 , 0.5331 , 0.58 , 0.6095 , 0.5698 , 0.5591 , 0.5642 , 0.5698 , 0.107 , -0.0647 , 0.0413 , 0.107 , 0.3247 , 0.3126 , 0.3183 , 0.3247 , mentah
Copy of Tm117.png , 25392.5909 , 30359.596 , 27310.5 , 25392.5909 , 99.5788 , 119.0572 , 107.1 , 99.5788 , 0.6095 , 0.5331 , 0.58 , 0.6095 , 0.5698 , 0.5591 , 0.5642 , 0.5698 , 0.107 , -0.0647 , 0.0413 , 0.107 , 0.3247 , 0.3126 , 0.3183 , 0.3247 , mentah
Copy of Tm118.png , 24085.5227 , 27420.5005 , 24762.0455 , 24085.5227 , 94.453 , 107.5314 , 97.1061 , 94.453 , 0.6296 , 0.5783 , 0.6192 , 0.6296 , 0.5903 , 0.5799 , 0.5877 , 0.5903 , 0.1146 , -0.0044 , 0.0909 , 0.1146 , 0.3485 , 0.3363 , 0.3453 , 0.3485 , mentah
Copy of Tm119.png , 24085.5227 , 27420.5005 , 24762.0455 , 24085.5227 , 94.453 , 107.5314 , 97.1061 , 94.453 , 0.6296 , 0.5783 , 0.6192 , 0.6296 , 0.5903 , 0.5799 , 0.5877 , 0.5903 , 0.1146 , -0.0044 , 0.0909 , 0.1146 , 0.3485 , 0.3363 , 0.3453 , 0.3485 , mentah
Copy of Tm12.png , 21320.3182 , 26252.8237 , 23888.4773 , 21320.3182 , 83.6091 , 102.9522 , 93.6803 , 83.6091 , 0.6721 , 0.5963 , 0.6326 , 0.6721 , 0.6133 , 0.595 , 0.6026 , 0.6133 , 0.1873 , 0.0038 , 0.0917 , 0.1873 , 0.3762 , 0.354 , 0.3631 , 0.3762 , mentah
Copy of Tm120.png , 24085.5227 , 27420.5005 , 24762.0455 , 24085.5227 , 94.453 , 107.5314 , 97.1061 , 94.453 , 0.6296 , 0.5783 , 0.6192 , 0.6296 , 0.5903 , 0.5799 , 0.5877 , 0.5903 , 0.1146 , -0.0044 , 0.0909 , 0.1146 , 0.3485 , 0.3363 , 0.3453 , 0.3485 , mentah
Copy of Tm121.png , 24328.5455 , 28501.9284 , 24867.1364 , 24328.5455 , 95.4061 , 111.7723 , 97.5182 , 95.4061 , 0.6259 , 0.5617 , 0.6176 , 0.6259 , 0.5937 , 0.5822 , 0.5917 , 0.5937 , 0.0948 , -0.0566 , 0.0757 , 0.0948 , 0.3525 , 0.339 , 0.3501 , 0.3525 , mentah
Copy of Tm122.png , 24328.5455 , 28501.9284 , 24867.1364 , 24328.5455 , 95.4061 , 111.7723 , 97.5182 , 95.4061 , 0.6259 , 0.5617 , 0.6176 , 0.6259 , 0.5937 , 0.5822 , 0.5917 , 0.5937 , 0.0948 , -0.0566 , 0.0757 , 0.0948 , 0.3525 , 0.339 , 0.3501 , 0.3525 , mentah
Copy of Tm123.png , 24328.5455 , 28501.9284 , 24867.1364 , 24328.5455 , 95.4061 , 111.7723 , 97.5182 , 95.4061 , 0.6259 , 0.5617 , 0.6176 , 0.6259 , 0.5937 , 0.5822 , 0.5917 , 0.5937 , 0.0948 , -0.0566 , 0.0757 , 0.0948 , 0.3525 , 0.339 , 0.3501 , 0.3525 , mentah
Copy of Tm124.png , 24124.9318 , 29669.6051 , 27041.2045 , 24124.9318 , 94.6076 , 116.3514 , 106.0439 , 94.6076 , 0.629 , 0.5437 , 0.5841 , 0.629 , 0.5824 , 0.5683 , 0.5731 , 0.5824 , 0.132 , -0.0638 , 0.0299 , 0.132 , 0.3392 , 0.323 , 0.3284 , 0.3392 , mentah
Copy of Tm125.png , 24124.9318 , 29669.6051 , 27041.2045 , 24124.9318 , 94.6076 , 116.3514 , 106.0439 , 94.6076 , 0.629 , 0.5437 , 0.5841 , 0.629 , 0.5824 , 0.5683 , 0.5731 , 0.5824 , 0.132 , -0.0638 , 0.0299 , 0.132 , 0.3392 , 0.323 , 0.3284 , 0.3392 , mentah
Copy of Tm126.png , 24124.9318 , 29669.6051 , 27041.2045 , 24124.9318 , 94.6076 , 116.3514 , 106.0439 , 94.6076 , 0.629 , 0.5437 , 0.5841 , 0.629 , 0.5824 , 0.5683 , 0.5731 , 0.5824 , 0.132 , -0.0638 , 0.0299 , 0.132 , 0.3392 , 0.323 , 0.3284 , 0.3392 , mentah
Copy of Tm127.png , 23789.9545 , 27088.7741 , 23625.75 , 23789.9545 , 93.2939 , 106.2305 , 92.65 , 93.2939 , 0.6341 , 0.5834 , 0.6367 , 0.6341 , 0.6034 , 0.5929 , 0.6037 , 0.6034 , 0.0942 , -0.0275 , 0.1011 , 0.0942 , 0.3641 , 0.3515 , 0.3645 , 0.3641 , mentah
Copy of Tm128.png , 23789.9545 , 27088.7741 , 23625.75 , 23789.9545 , 93.2939 , 106.2305 , 92.65 , 93.2939 , 0.6341 , 0.5834 , 0.6367 , 0.6341 , 0.6034 , 0.5929 , 0.6037 , 0.6034 , 0.0942 , -0.0275 , 0.1011 , 0.0942 , 0.3641 , 0.3515 , 0.3645 , 0.3641 , mentah
Copy of Tm129.png , 23789.9545 , 27088.7741 , 23625.75 , 23789.9545 , 93.2939 , 106.2305 , 92.65 , 93.2939 , 0.6341 , 0.5834 , 0.6367 , 0.6341 , 0.6034 , 0.5929 , 0.6037 , 0.6034 , 0.0942 , -0.0275 , 0.1011 , 0.0942 , 0.3641 , 0.3515 , 0.3645 , 0.3641 , mentah
Copy of Tm13.png , 21786.6591 , 25257.6446 , 22725.9091 , 21786.6591 , 85.4379 , 99.0496 , 89.1212 , 85.4379 , 0.665 , 0.6116 , 0.6505 , 0.665 , 0.6173 , 0.6041 , 0.6135 , 0.6173 , 0.1543 , 0.0228 , 0.1182 , 0.1543 , 0.381 , 0.365 , 0.3763 , 0.381 , mentah
Copy of Tm130.png , 22220.1591 , 25941.0009 , 22679.9318 , 22220.1591 , 87.1379 , 101.7294 , 88.9409 , 87.1379 , 0.6583 , 0.6011 , 0.6512 , 0.6583 , 0.6145 , 0.6012 , 0.6125 , 0.6145 , 0.1403 , -0.0005 , 0.1231 , 0.1403 , 0.3776 , 0.3615 , 0.3751 , 0.3776 , mentah
